,Electrolyte
2104,"0.6 M BMII (1-butyl-3-methylimidazolium iodide), 0.05 M LiI, 0.03 MI2, 0.5 M 4-tert-butylpyridine, and 0.1 M guanidinium thiocyanate in a mixture of acetonitrile-valeronitrile (85:15, v/v)"
2105,"LiI (100 mM), iodine (30 mM), 4-tert-butyl pyridine (500 mM) and 1-butyl-3-methyl-imidazolium iodide (600 mM) in mixed solvent of acetonitrile and varelonitrile (volume ratio of 85:15)"
2106,"0.6 M 1-butyl-3-methylimidazolium iodide (BMII), 0.05 M LiI, 0.03 M I2, 0.5 M 4-tert-butylpyridine, and 0.1 M guanidinium thiocyanate in a mixture of acetonitrile-valeronitrile (85:15, v/v)]"
2107,"acetonitrile solution containing LiI (0.5 M), I2 (0.05 M), and 4-tert-butylpyridine (0.5 M)"
2108,"acetonitrile solution containing LiI (0.5 M), I2 (0.05 M), and 4-tert-butylpyridine (0.5 M)"
2109,"acetonitrile solution containing LiI (0.5 M), I2 (0.05 M), and 4-tert-butylpyridine (0.5 M)"
2110,"0.1 M LiI, 0.6 M DMPII, 0.03 M I2 , and 0.5 M TBP in a mixture of ACN/MPN (volume ratio of 1:1)"
2111,"0.6 M BMII (1-butyl-3-methylimidazolium iodide), 0.05 M LiI, 0.03 MI2, 0.5 M 4-tert-butylpyridine, and 0.1 M guanidinium thiocyanate in a mixture of acetonitrile-valeronitrile (85:15, v/v)"
2112,"0.6 M BMII (1-butyl-3-methylimidazolium iodide), 0.05 M LiI, 0.03 MI2, 0.5 M 4-tert-butylpyridine, and 0.1 M guanidinium thiocyanate in a mixture of acetonitrile-valeronitrile (85:15, v/v)"
2113,"0.6 M BMII (1-butyl-3-methylimidazolium iodide), 0.05 M LiI, 0.03 MI2, 0.5 M 4-tert-butylpyridine, and 0.1 M guanidinium thiocyanate in a mixture of acetonitrile-valeronitrile (85:15, v/v)"
2114,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, 0.05 M I2, and 0.5 M tertbutylpyridine in acetonitrile"
2115,"0.1 M LiI, 0.05 M I2, 0.6 M 1, 2-dimethyl-3- N-propylimidazolium iodide and 0.5 M TBP in dehydrated acetonitrile"
2116,"0.03 M I2, 0.05 M LiI, 0.5 M TBP, 0.1 M guandine thiocyanate, 1.0 M 1,3-dimethylimidazolium (DMII) DMII in acetonitrile and valeronitrile (v/v, 85/15)"
2117,"0.03 M I2, 0.05 M LiI, 0.5 M TBP, 0.1 M guandine thiocyanate, 1.0 M 1,3-dimethylimidazolium (DMII) DMII in acetonitrile and valeronitrile (v/v, 85/15)"
2118,"3-propyl-1-methyl-imidazolium iodide (PMII, 0.7 M), LiI (0.2 M), I2 (0.05 M), and t-butylpyridine (TBP, 0.5 M) in acetonitrile/valeronitrile (85:15 v/v)"
2119,"3-propyl-1-methyl-imidazolium iodide (PMII, 0.7 M), LiI (0.2 M), I2 (0.05 M), and t-butylpyridine (TBP, 0.5 M) in acetonitrile/valeronitrile (85:15 v/v)"
2120,"0.1 M GuSCN, 1.2 M DMPII, 0.035 M I2, and 0.5 M tBP in ACN/MPN (volume ratio of 8:2)"
2121,"0.1 M GuSCN, 1.2 M DMPII, 0.035 M I2, and 0.5 M tBP in ACN/MPN (volume ratio of 8:2)"
2122,"0.1 M GuSCN, 1.2 M DMPII, 0.035 M I2, and 0.5 M tBP in ACN/MPN (volume ratio of 8:2)"
2123,"0.1 M GuSCN, 1.2 M DMPII, 0.035 M I2, and 0.5 M tBP in ACN/MPN (volume ratio of 8:2)"
2124,"0.1 M GuSCN, 1.2 M DMPII, 0.035 M I2, and 0.5 M tBP in ACN/MPN (volume ratio of 8:2)"
2125,"0.1 M GuSCN, 1.2 M DMPII, 0.035 M I2, and 0.5 M tBP in ACN/MPN (volume ratio of 8:2)"
2126,"0.1 M GuSCN, 1.2 M DMPII, 0.035 M I2, and 0.5 M tBP in ACN/MPN (volume ratio of 8:2)"
2127,"0.1 M GuSCN, 1.2 M DMPII, 0.035 M I2, and 0.5 M tBP in ACN/MPN (volume ratio of 8:2)"
2128,"0.3 M 1-methyl-3-propylimidazolium iodide (MPII), 0.03 M I2, 0.07 M LiI, 0.1 M guandine thiocyanate and 0.4 M 4-tert-butylpyridine (TBP)"
2129,"0.3 M 1-methyl-3-propylimidazolium iodide (MPII), 0.03 M I2, 0.07 M LiI, 0.1 M guandine thiocyanate and 0.4 M 4-tert-butylpyridine (TBP)"
2130,"0.3 M 1-methyl-3-propylimidazolium iodide (MPII), 0.03 M I2, 0.07 M LiI, 0.1 M guandine thiocyanate and 0.4 M 4-tert-butylpyridine (TBP)"
2131,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, 0.05 M I2, and 0.5 M tertbutylpyridine in acetonitrile"
2132,"LiI (100 mM), iodine (30 mM), 4-tert-butyl pyridine (500 mM) and 1-butyl-3-methyl-imidazolium iodide (600 mM) in mixed solvent of acetonitrile and varelonitrile (volume ratio of 85:15)"
2133,"0.25 M [Co(II)(phen)3](PF6)2, 0.05 M [Co(III)(phen)3](PF6)3, 0.5 M TBP and 0.1M LiTFSI in acetonitrile"
2134,"0.25 M [Co(II)(Cl-phen)3](PF6)2, 0.05 M [Co(III)(Cl-phen)3](PF6)3, 0.5 M TBP and 0.1 M LiTFSI in acetonitrile"
2135,"0.25 M [Co(II)(Cl-phen)3](PF6)2, 0.05 M [Co(III)(Cl-phen)3](PF6)3, 0.5 M TBP and 0.1 M LiTFSI in acetonitrile"
2136,"0.25 M [Co(II)(Cl-phen)3](PF6)2, 0.05 M [Co(III)(Cl-phen)3](PF6)3, 0.5 M TBP and 0.1 M LiTFSI in acetonitrile"
2137,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2138,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2139,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2140,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2141,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2142,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2143,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2144,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2145,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2146,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2147,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2148,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2149,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2150,0.5 M LiI and 0.05 M I2 in CH3CN
2151,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2152,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidinium thiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2153,"0.1 M LiI, 0.03 M I2, 0.6 M 1-methyl-3-propylimidazolium iodide, and 0.5 M tert-butylpyridine in dry acetonitrile"
2154,iodide/triiodide
2155,iodide/triiodide
2156,iodide/triiodide
2157,2 M LiI and 0.025 M I2 in CH3CN
2158,2 M LiI and 0.025 M I2 in CH3CN
2159,"LiI (100 mM), iodine (30 mM), 4-tert-butyl pyridine (500 mM) and 1-butyl-3-methyl-imidazolium iodide (600 mM) in mixed solvent of acetonitrile and varelonitrile (volume ratio of 85:15)"
2160,"0.6 M 1,2-dimethyl-3-propylimidazole iodide (DMPII), 0.5 M 4-tert-butylpyridine (TBP), 0.05 M I2 and 0.1 M LiI in acetonitrile"
2161,"0.6 M 1,2-dimethyl-3-propylimidazole iodide (DMPII), 0.5 M 4-tert-butylpyridine (TBP), 0.05 M I2 and 0.1 M LiI in acetonitrile"
2162,"0.6 M 1,2-dimethyl-3-propylimidazole iodide (DMPII), 0.5 M 4-tert-butylpyridine (TBP), 0.05 M I2 and 0.1 M LiI in acetonitrile"
2163,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 1.0 M LiI, and 85:15 MeCN:valeronitrile"
2164,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 1.0 M LiI, and 85:15 MeCN:valeronitrile"
2165,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 1.0 M LiI, and 85:15 MeCN:valeronitrile"
2166,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 1.0 M LiI, and 85:15 MeCN:valeronitrile"
2167,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 1.0 M LiI, and 85:15 MeCN:valeronitrile"
2168,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 1.0 M LiI, and 85:15 MeCN:valeronitrile"
2169,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 1.0 M LiI, and 85:15 MeCN:valeronitrile"
2170,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 1.0 M LiI, and 85:15 MeCN:valeronitrile"
2171,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 1.0 M LiI, and 85:15 MeCN:valeronitrile"
2172,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 1.0 M LiI, and 85:15 MeCN:valeronitrile"
2173,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 1.0 M LiI, and 85:15 MeCN:valeronitrile"
2174,"0.6 M DMII, 0.05 M LiI, 0.03 M I2, 0.25 M TBP, 0.05 M GuSCN in acetonitrile:valeronitrile (85:15)"
2175,"0.6 M DMII, 0.05 M LiI, 0.03 M I2, 0.25 M TBP, 0.05 M GuSCN in acetonitrile:valeronitrile (85:15)"
2176,"0.6 M DMII, 0.05 M LiI, 0.03 M I2, 0.25 M TBP, 0.05 M GuSCN in acetonitrile:valeronitrile (85:15)"
2177,"0.6 M DMII, 0.05 M LiI, 0.03 M I2, 0.25 M TBP, 0.05 M GuSCN in acetonitrile:valeronitrile (85:15)"
2178,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, and 0.1 M I2 in CH3CN"
2179,"0.6 M DMII, 0.05 M LiI, 0.03 M I2, 0.25 M TBP, 0.05 M GuSCN in acetonitrile:valeronitrile (85:15)"
2180,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 in acetonitrile and 4-tert-butylpyridine (volume ratio, 1:1)"
2181,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 in acetonitrile and 4-tert-butylpyridine (volume ratio, 1:1)"
2182,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 in acetonitrile and 4-tert-butylpyridine (volume ratio, 1:1)"
2183,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 in acetonitrile and 4-tert-butylpyridine (volume ratio, 1:1)"
2184,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 in a mixture of acetonitrile and 4-tert-butylpyridine (volume ratio 1:1)"
2185,"LiI (100 mM), iodine (30 mM), 4-tert-butyl pyridine (500 mM) and 1-butyl-3-methyl-imidazolium iodide (600 mM) in mixed solvent of acetonitrile and varelonitrile (volume ratio of 85:15)"
2186,"0.1 M GuNCS, 1.0 M DMII, 30 mM I2, 0.5 M TBP, 0.05 M LiI, and 85:15 MeCN:valeronitrile"
2187,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 in a mixture of acetonitrile and 4-tert-butylpyridine (volume ratio 1:1)"
2188,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 in a mixture of acetonitrile and 4-tert-butylpyridine (volume ratio 1:1)"
2189,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 in a mixture of acetonitrile and 4-tert-butylpyridine (volume ratio 1:1)"
2190,"0.6 mol/L 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 mol/L LiI, 0.05 mol/L I2 in  acetonitrile and 4-tert-butylpyridine (volume ratio, 1:1)"
2191,"0.6 mol/L 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 mol/L LiI, 0.05 mol/L I2 in  acetonitrile and 4-tert-butylpyridine (volume ratio, 1:1)"
2192,"0.6 mol/L 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.1 mol/L LiI, 0.05 mol/L I2 in  acetonitrile and 4-tert-butylpyridine (volume ratio, 1:1)"
2193,"EL-HSE, Dyesol"
2194,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.0653MLiI, 0.03MI2, 0.28M4-tertbutylpyridine (TBP) and 0.05M guanidium thiocyanate (GuSCN) in acetonitrile"
2195,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.0653MLiI, 0.03MI2, 0.28M4-tertbutylpyridine (TBP) and 0.05M guanidium thiocyanate (GuSCN) in acetonitrile"
2196,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.0653MLiI, 0.03MI2, 0.28M4-tertbutylpyridine (TBP) and 0.05M guanidium thiocyanate (GuSCN) in acetonitrile"
2197,"0.6 M 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.0653MLiI, 0.03MI2, 0.28M4-tertbutylpyridine (TBP) and 0.05M guanidium thiocyanate (GuSCN) in acetonitrile"
2198,OPV-AN-I
2199,OPV-AN-I
2200,OPV-AN-I
2201,"1-propyl-2,3-dimethylimidazolium iodide (1.2 M),  iodine (0.035 M), tert-butylpyridine (0.5 M) and guanidine thiocyanate (0.1 M) dissolved in acetonitrile/3-methoxypropionitrile mixture (8:2)"
2202,"1-propyl-2,3-dimethylimidazolium iodide (1.2 M),  iodine (0.035 M), tert-butylpyridine (0.5 M) and guanidine thiocyanate (0.1 M) dissolved in acetonitrile/3-methoxypropionitrile mixture (8:2)"
2203,"0.5 M 1,3-dimethyl-imidazolium iodide (DMII), 0.1 M lithium iodide, 0.03 M iodine, 0.5 M tert-butyl-pyridine and 0.1 M guanidinium thiocyanate in acetonitrile"
2204,"0.5 M 1,3-dimethyl-imidazolium iodide (DMII), 0.1 M lithium iodide, 0.03 M iodine, 0.5 M tert-butyl-pyridine and 0.1 M guanidinium thiocyanate in acetonitrile"
2205,"0.5 M 1,3-dimethyl-imidazolium iodide (DMII), 0.1 M lithium iodide, 0.03 M iodine, 0.5 M tert-butyl-pyridine and 0.1 M guanidinium thiocyanate in acetonitrile"
2206,"0.5 M 1,3-dimethyl-imidazolium iodide (DMII), 0.1 M lithium iodide, 0.03 M iodine, 0.5 M tert-butyl-pyridine and 0.1 M guanidinium thiocyanate in acetonitrile"
2207,"0.5 M 1,3-dimethyl-imidazolium iodide (DMII), 0.1 M lithium iodide, 0.03 M iodine, 0.5 M tert-butyl-pyridine and 0.1 M guanidinium thiocyanate in acetonitrile"
2208,"0.5 M 1,3-dimethyl-imidazolium iodide (DMII), 0.1 M lithium iodide, 0.03 M iodine, 1.0 M tert-butyl-pyridine and 0.1 M guanidinium thiocyanate in acetonitrile"
2209,"0.5 M lithium iodide (LiI), 0.05 M I2, and 0.5 M 4-tert-butylpyridine (TBP) in solvent of THF/C2H5OH (¼)"
2210,"LiI (100 mM), iodine (30 mM), 4-tert-butyl pyridine (500 mM) and 1-butyl-3-methyl-imidazolium iodide (600 mM) in mixed solvent of acetonitrile and varelonitrile (volume ratio of 85:15)"
2211,"LiI (100 mM), iodine (30 mM), 4-tert-butyl pyridine (500 mM) and 1-butyl-3-methyl-imidazolium iodide (600 mM) in mixed solvent of acetonitrile and varelonitrile (volume ratio of 85:15)"
2212,"LiI (100 mM), iodine (30 mM), 4-tert-butyl pyridine (500 mM) and 1-butyl-3-methyl-imidazolium iodide (600 mM) in mixed solvent of acetonitrile and varelonitrile (volume ratio of 85:15)"
2213,"LiI (100 mM), iodine (30 mM), 4-tert-butyl pyridine (500 mM) and 1-butyl-3-methyl-imidazolium iodide (600 mM) in mixed solvent of acetonitrile and varelonitrile (volume ratio of 85:15)"
2214,"0.6MBMII (1-butyl-3-methylimidiazolium iodide), 0.1 M LiI, 0.05 M I2, and 0.6 M tert-TBP in acetonitrile"
2215,"0.5 M lithium iodide (LiI), 0.05 M I2, and 0.5 M 4-tert-butylpyridine (TBP) in solvent of THF/C2H5OH (¼)"
2216,"0.5 M lithium iodide (LiI), 0.05 M I2, and 0.5 M 4-tert-butylpyridine (TBP) in solvent of THF/C2H5OH (¼)"
2217,"0.5 M lithium iodide (LiI), 0.05 M I2, and 0.5 M 4-tert-butylpyridine (TBP) in solvent of THF/C2H5OH (¼)"
2218,"0.5 M lithium iodide (LiI), 0.05 M I2, and 0.5 M 4-tert-butylpyridine (TBP) in solvent of THF/C2H5OH (¼)"
2219,"0.5 M lithium iodide (LiI), 0.05 M I2, and 0.5 M 4-tert-butylpyridine (TBP) in solvent of THF/C2H5OH (¼)"
2220,"0.5 M lithium iodide (LiI), 0.05 M I2, and 0.5 M 4-tert-butylpyridine (TBP) in solvent of THF/C2H5OH (¼)"
2221,"0.5 M lithium iodide (LiI), 0.05 M I2, and 0.5 M 4-tert-butylpyridine (TBP) in solvent of THF/C2H5OH (¼)"
2222,Iodolyte Z-50
2223,"0.1 M iodine in methoxypropionitrile, 0.3 M benzimidazole, 0.05 M guanidine thiocyanate, and 0.8 M methyl propyl imidazolium iodide"
2224,"0.1 M iodine in methoxypropionitrile, 0.3 M benzimidazole, 0.05 M guanidine thiocyanate, and 0.8 M methyl propyl imidazolium iodide"
2225,Iodolyte Z-50
2226,"0.1 M iodine in methoxypropionitrile, 0.3 M benzimidazole, 0.05 M guanidine thiocyanate, and 0.8 M methyl propyl imidazolium iodide"
2227,"0.1 M iodine in methoxypropionitrile, 0.3 M benzimidazole, 0.05 M guanidine thiocyanate, and 0.8 M methyl propyl imidazolium iodide"
2228,"0.6 M 1-methyl-3-propylimidazoliumiodide (PMII), 0.05 M LiI, 0.10 M guanidinium thiocyanate, 0.03 M I2 and 0.5 M tert-butylpyridine) in acetonitrile/valeronitrile (85:15)"
2229,"0.6 M tetrabutylammonium iodide, 0.5 M tert-butylpyridine, 0.1 M lithium iodide, and 100 mM iodine in 3-methoxypropionitrile"
2230,"LiI (0.1 g), I2 (0.019 g), propylene carbonate (5 mL), P25 TiO2 (0.0383 g), PEO (0.2648 g), and 4-tert-butylpyridine (0.044 mL) into acetonitrile (5 mL) solvent"
2231,"LiI (0.1 g), I2 (0.019 g), propylene carbonate (5 mL), P25 TiO2 (0.0383 g), PEO (0.2648 g), and 4-tert-butylpyridine (0.044 mL) into acetonitrile (5 mL) solvent"
2232,"0.6 M methyl propyl imidazolium iodide, 0.03 M I2 (99.9%) and 0.5 M 4-tertbutylpyridine in acetonitrile/valeronitrile (85:15)"
2233,"0.6 M methyl propyl imidazolium iodide, 0.03 M I2 (99.9%) and 0.5 M 4-tertbutylpyridine in acetonitrile/valeronitrile (85:15)"
2234,"0.6 M methyl propyl imidazolium iodide, 0.03 M I2 (99.9%) and 0.5 M 4-tertbutylpyridine in acetonitrile/valeronitrile (85:15)"
2235,"0.6 M methyl propyl imidazolium iodide, 0.03 M I2 (99.9%) and 0.5 M 4-tertbutylpyridine in acetonitrile/valeronitrile (85:15)"
2236,"0.6 M methyl propyl imidazolium iodide, 0.03 M I2 (99.9%) and 0.5 M 4-tertbutylpyridine in acetonitrile/valeronitrile (85:15)"
2237,"0.6 M methyl propyl imidazolium iodide, 0.03 M I2 (99.9%) and 0.5 M 4-tertbutylpyridine in acetonitrile/valeronitrile (85:15)"
2238,"0.6MBMII (1-butyl-3-methylimidiazolium iodide), 0.1 M LiI, 0.05 M I2, and 0.6 M tert-TBP in acetonitrile"
2239,"0.6MBMII (1-butyl-3-methylimidiazolium iodide), 0.1 M LiI, 0.05 M I2, and 0.6 M tert-TBP in acetonitrile"
2240,"0.6MBMII (1-butyl-3-methylimidiazolium iodide), 0.1 M LiI, 0.05 M I2, and 0.6 M tert-TBP in acetonitrile"
2241,"0.05 M I2, 0.1 M LiI, 0.5 M 4-tert-butyl pyridine in 3-methoxypropionitrile"
2242,0.5 M potassium iodide and 0.05 M iodine mixed in pure ethylene glycol
2243,"0.6 M 3-hexyl-1,2-dimethyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
2244,"0.6 M 3-hexyl-1,2-dimethyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
2245,"0.6 M 1,2-dimethyl-3-propylimidazole iodide (DMPII), 0.5 M 4-tert-butylpyridine (TBP), 0.05 M I2 and 0.1 M LiI in acetonitrile"
2246,"0.6 M 1,2-dimethyl-3-propylimidazole iodide (DMPII), 0.5 M 4-tert-butylpyridine (TBP), 0.05 M I2 and 0.1 M LiI in acetonitrile"
2247,"1-propyl-2,3-dimethylimidazolium iodide (1.2 M),  iodine (0.035 M), tert-butylpyridine (0.5 M) and guanidine thiocyanate (0.1 M) dissolved in acetonitrile/3-methoxypropionitrile mixture (8:2)"
2248,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidiniumthiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2249,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidiniumthiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2250,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidiniumthiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2251,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidiniumthiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2252,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidiniumthiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2253,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidiniumthiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2254,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.1 M guanidiniumthiocyanate, 0.07 M I2, 0.05 M LiI, and 0.5 M tert-butylpyridine in acetonitrile/valeronitrile (85:15)"
2255,Iodolyte Z-50
2256,"0.1 M iodine in methoxypropionitrile, 0.3 M benzimidazole, 0.05 M guanidine thiocyanate, and 0.8 M methyl propyl imidazolium iodide"
2257,"0.1 M LiI, 0.03 M I2, 0.6 M 1-methyl-3-propylimidazolium iodide, and 0.5 M tert-butylpyridine in dry acetonitrile"
2258,"0.6 M 3-hexyl-1,2-dimethyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
2259,"0.25 M [Co(II)(phen)3](PF6)2, 0.05 M [Co(III)(phen)3](PF6)3, 0.5 M TBP and 0.1 M LiTFSI in acetonitrile"
2260,"0.5 mM in CHCl3 and 0.6 M tetrabutylammonium iodide (TBAI), 0.1 M LiI, 0.05 M I2, and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
2261,"0.5 mM in CHCl3 and 0.6 M tetrabutylammonium iodide (TBAI), 0.1 M LiI, 0.05 M I2, and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
2262,"0.5 M lithium iodide (LiI), 0.05 M iodine (I2), and 0.5 M 4-tert-butylpyridine dissolved in acetonitrile"
2263,"0.6 M dimethylpropylimidazolium iodide, 0.05 M I2, 0.1 M LiI and 0.5 M tert-butyl pyridine in acetonitrile"
2264,"0.25 M [Co(II)(phen)3](PF6)2, 0.05 M [Co(III)(phen)3](PF6)3, 0.5 M TBP and 0.1 M LiTFSI in acetonitrile"
2265,"0.06 M LiI, 0.03 M I2, 0.1 M guanidinium thiocyanate, 0.6 M1-propyl-3-methylimidazolium iodide (PMII), and 0.5 M tertbutylpyridine in acetonitrile"
2266,"0.06 M LiI, 0.03 M I2, 0.1 M guanidinium thiocyanate, 0.6 M1-propyl-3-methylimidazolium iodide (PMII), and 0.5 M tertbutylpyridine in acetonitrile"
2267,"0.06 M LiI, 0.03 M I2, 0.1 M guanidinium thiocyanate, 0.6 M1-propyl-3-methylimidazolium iodide (PMII), and 0.5 M tertbutylpyridine in acetonitrile"
2268,"0.06 M LiI, 0.03 M I2, 0.1 M guanidinium thiocyanate, 0.6 M1-propyl-3-methylimidazolium iodide (PMII), and 0.5 M tertbutylpyridine in acetonitrile"
2269,"LiI (0.5 M), I2 (0.05 M), and TBP (4-tert-butylpyridine) (0.5 M) in MeCN"
2270,"3-dimethylimidazolium iodide (DMII)(1.0 M) and guanidinium thiocyanate (0.1 M), in addition to LiI (0.05 M), I2 (0.03 M), and TBP (0.5 M) in a mixed solvent of MeCN and valeronitrile (85:15, v/v)"
2271,"LiI (0.5 M), I2 (0.05 M), and TBP (4-tert-butylpyridine) (0.5 M) in MeCN"
